age,job,marital,education,default,housing,loan,month,day_of_week,duration,campaign,pdays,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
35,blue-collar,single,high.school,,no,no,jul,thu,117,3,999,1.4,93.918,-42.7,4.958,5228.1,no
52,blue-collar,married,,,yes,no,jun,thu,118,4,999,1.4,94.465,-41.8,4.961,5228.1,no
38,services,married,high.school,,no,no,jun,tue,253,2,999,1.4,94.465,-41.8,4.864,5228.1,no
44,admin.,married,university.degree,no,yes,no,oct,wed,749,1,999,-3.4,92.431,-26.9,0.735,5017.5,yes
25,services,divorced,basic.4y,no,yes,no,may,fri,601,1,999,1.1,93.994,-36.4,4.859,5191,no
49,services,married,high.school,no,no,no,aug,mon,565,1,999,1.4,93.444,-36.1,4.965,5228.1,no
30,technician,divorced,high.school,no,yes,yes,jun,tue,131,2,999,1.4,94.465,-41.8,4.961,5228.1,no
38,blue-collar,married,basic.6y,no,yes,no,may,mon,135,2,999,-1.8,92.893,-46.2,1.299,5099.1,no
34,admin.,married,high.school,no,yes,yes,jul,wed,411,1,999,1.4,93.918,-42.7,4.962,5228.1,no
22,blue-collar,married,basic.9y,no,yes,no,may,thu,23,1,999,-1.8,92.893,-46.2,1.266,5099.1,no
32,self-employed,married,university.degree,no,no,yes,may,mon,133,2,999,-1.8,92.893,-46.2,1.244,5099.1,no
34,services,married,high.school,no,,,jun,wed,187,1,999,1.4,94.465,-41.8,4.959,5228.1,no
49,admin.,divorced,high.school,no,no,no,jun,thu,370,1,999,1.4,94.465,-41.8,4.961,5228.1,no
36,admin.,married,university.degree,no,yes,no,may,fri,322,2,999,1.1,93.994,-36.4,4.859,5191,no
28,blue-collar,divorced,high.school,no,no,no,may,thu,307,1,999,-1.8,92.893,-46.2,1.266,5099.1,yes
58,retired,divorced,high.school,no,no,no,aug,thu,398,2,999,-2.9,92.201,-31.4,0.829,5076.2,yes
58,retired,married,basic.4y,no,yes,no,may,wed,358,2,999,-1.8,92.893,-46.2,1.334,5099.1,no
50,self-employed,single,university.degree,no,no,yes,may,mon,88,5,999,1.1,93.994,-36.4,4.857,5191,no
34,admin.,single,,,yes,no,jul,thu,51,2,999,1.4,93.918,-42.7,4.962,5228.1,no
29,technician,single,professional.course,no,yes,no,aug,thu,94,4,999,1.4,93.444,-36.1,4.962,5228.1,no
51,unemployed,married,high.school,no,yes,yes,sep,fri,240,3,999,-1.1,94.199,-37.5,0.883,4963.6,no
32,retired,married,high.school,no,no,no,may,fri,209,3,999,1.1,93.994,-36.4,4.855,5191,no
53,management,married,,no,yes,yes,jul,mon,88,9,999,1.4,93.918,-42.7,4.962,5228.1,no
31,student,single,,no,no,yes,may,mon,63,3,999,-1.8,92.893,-46.2,1.354,5099.1,no
52,services,married,high.school,,yes,no,may,tue,140,1,999,1.1,93.994,-36.4,4.856,5191,no
38,technician,single,university.degree,no,no,no,apr,fri,301,2,999,-1.8,93.075,-47.1,1.405,5099.1,no
54,admin.,married,high.school,no,no,no,jun,thu,361,1,999,1.4,94.465,-41.8,4.961,5228.1,no
36,entrepreneur,married,university.degree,no,yes,no,may,mon,59,4,999,1.1,93.994,-36.4,4.857,5191,no
34,technician,married,professional.course,,no,no,jun,thu,10,1,999,1.4,94.465,-41.8,4.958,5228.1,no
27,admin.,single,high.school,no,yes,no,jul,thu,130,1,999,1.4,93.918,-42.7,4.958,5228.1,no
42,admin.,married,university.degree,no,no,yes,nov,fri,902,1,999,-0.1,93.2,-42,4.021,5195.8,yes
54,admin.,married,university.degree,no,yes,no,aug,fri,326,3,999,-2.9,92.201,-31.4,0.869,5076.2,yes
32,management,married,university.degree,no,yes,yes,may,wed,36,9,999,-1.8,92.893,-46.2,1.281,5099.1,no
40,admin.,single,university.degree,no,yes,no,jul,fri,198,1,999,1.4,93.918,-42.7,4.962,5228.1,no
34,blue-collar,married,high.school,no,no,no,may,wed,407,2,999,1.1,93.994,-36.4,4.859,5191,no
43,blue-collar,married,basic.6y,,yes,no,apr,fri,19,4,999,-1.8,93.075,-47.1,1.405,5099.1,no
51,housemaid,divorced,high.school,no,yes,no,jul,thu,870,3,999,1.4,93.918,-42.7,4.962,5228.1,no
35,blue-collar,married,basic.9y,no,no,no,may,thu,270,2,999,-1.8,92.893,-46.2,1.327,5099.1,no
39,admin.,married,high.school,no,no,no,nov,mon,1011,1,3,-3.4,92.649,-30.1,0.714,5017.5,no
49,housemaid,married,basic.4y,,yes,no,aug,wed,501,1,999,1.4,93.444,-36.1,4.967,5228.1,yes
40,entrepreneur,married,university.degree,no,no,no,jul,wed,94,4,999,1.4,93.918,-42.7,4.963,5228.1,no
39,admin.,divorced,professional.course,no,no,no,mar,thu,593,4,999,-1.8,93.369,-34.8,0.643,5008.7,yes
56,housemaid,married,university.degree,no,yes,no,apr,mon,148,1,999,-1.8,93.075,-47.1,1.405,5099.1,yes
31,admin.,married,university.degree,,yes,no,may,mon,219,1,999,1.1,93.994,-36.4,4.857,5191,no
32,admin.,married,high.school,no,no,yes,may,thu,142,1,999,-1.8,92.893,-46.2,1.327,5099.1,no
39,services,married,high.school,no,no,no,may,tue,132,2,999,1.1,93.994,-36.4,4.857,5191,no
49,services,married,high.school,no,no,no,aug,tue,344,1,999,1.4,93.444,-36.1,4.968,5228.1,no
69,entrepreneur,married,high.school,no,yes,no,jun,wed,178,2,999,-2.9,92.963,-40.8,1.26,5076.2,no
75,retired,divorced,basic.4y,no,no,no,oct,thu,247,2,999,-3.4,92.431,-26.9,0.722,5017.5,no
44,blue-collar,married,professional.course,,yes,no,jun,wed,43,1,999,1.4,94.465,-41.8,4.958,5228.1,no
45,services,married,basic.6y,no,yes,no,aug,mon,671,2,999,1.4,93.444,-36.1,4.963,5228.1,yes
81,retired,married,university.degree,,yes,yes,oct,tue,327,2,6,-3.4,92.431,-26.9,0.728,5017.5,no
34,management,married,high.school,no,yes,no,nov,wed,228,3,999,-0.1,93.2,-42,4.12,5195.8,no
33,admin.,single,university.degree,no,no,no,aug,fri,69,14,999,1.4,93.444,-36.1,4.963,5228.1,no
41,housemaid,married,basic.9y,,yes,no,may,tue,129,2,999,1.1,93.994,-36.4,4.856,5191,no
26,management,single,university.degree,no,yes,no,may,thu,667,1,999,-1.8,92.893,-46.2,1.266,5099.1,yes
28,admin.,single,high.school,no,no,yes,jul,mon,157,3,999,1.4,93.918,-42.7,4.962,5228.1,no
32,blue-collar,married,basic.9y,no,yes,yes,jul,mon,64,3,999,1.4,93.918,-42.7,4.962,5228.1,no
41,services,divorced,high.school,no,yes,yes,jun,mon,273,1,999,1.4,94.465,-41.8,4.865,5228.1,no
30,admin.,single,university.degree,no,no,no,aug,thu,152,4,999,1.4,93.444,-36.1,4.968,5228.1,no
39,blue-collar,married,professional.course,no,no,no,jul,mon,280,1,999,1.4,93.918,-42.7,4.96,5228.1,no
52,entrepreneur,married,university.degree,,yes,no,jul,tue,167,3,999,1.4,93.918,-42.7,4.961,5228.1,no
29,unemployed,married,basic.4y,,yes,no,nov,thu,166,3,999,-0.1,93.2,-42,4.076,5195.8,no
45,services,married,high.school,no,no,no,aug,fri,239,2,999,1.4,93.444,-36.1,4.964,5228.1,no
38,blue-collar,married,basic.6y,,no,no,may,mon,523,2,999,1.1,93.994,-36.4,4.857,5191,no
53,unemployed,married,basic.6y,,no,no,jul,mon,273,1,999,1.4,93.918,-42.7,4.962,5228.1,no
47,unemployed,married,high.school,,yes,no,may,fri,237,1,999,1.1,93.994,-36.4,4.855,5191,no
25,blue-collar,single,basic.6y,no,no,yes,jul,fri,1127,3,999,1.4,93.918,-42.7,4.957,5228.1,yes
31,admin.,married,university.degree,,no,no,may,thu,344,4,999,-1.8,92.893,-46.2,1.266,5099.1,no
30,unemployed,married,professional.course,no,yes,yes,jun,tue,495,1,999,-2.9,92.963,-40.8,1.262,5076.2,no
53,blue-collar,married,basic.9y,,yes,no,may,wed,489,2,999,1.1,93.994,-36.4,4.856,5191,no
32,admin.,divorced,university.degree,no,yes,no,aug,tue,152,3,999,1.4,93.444,-36.1,4.963,5228.1,no
41,admin.,married,university.degree,no,yes,no,may,wed,187,3,999,1.1,93.994,-36.4,4.859,5191,no
32,entrepreneur,single,university.degree,no,no,no,jul,fri,89,2,999,1.4,93.918,-42.7,4.957,5228.1,no
43,technician,married,professional.course,no,yes,no,jun,tue,41,2,999,1.4,94.465,-41.8,4.961,5228.1,no
48,management,married,university.degree,no,yes,yes,aug,tue,144,1,999,1.4,93.444,-36.1,4.963,5228.1,no
52,entrepreneur,single,university.degree,,yes,no,nov,mon,77,2,999,-0.1,93.2,-42,4.191,5195.8,no
50,services,single,high.school,no,yes,no,jul,wed,99,2,999,1.4,93.918,-42.7,4.963,5228.1,no
34,technician,married,professional.course,no,no,yes,jun,tue,145,1,999,1.4,94.465,-41.8,4.864,5228.1,no
42,services,divorced,high.school,,no,no,jun,thu,111,2,999,1.4,94.465,-41.8,4.961,5228.1,no
39,technician,married,university.degree,no,no,no,jul,tue,62,2,999,1.4,93.918,-42.7,4.961,5228.1,no
29,technician,married,professional.course,no,yes,no,oct,fri,319,1,5,-1.1,94.601,-49.5,0.972,4963.6,yes
31,admin.,divorced,high.school,no,no,no,may,tue,271,3,999,1.1,93.994,-36.4,4.857,5191,no
52,blue-collar,married,basic.9y,no,yes,no,aug,mon,551,1,999,1.4,93.444,-36.1,4.97,5228.1,no
31,admin.,single,university.degree,no,yes,yes,may,wed,174,1,999,1.1,93.994,-36.4,4.856,5191,no
43,management,married,basic.6y,no,no,no,apr,wed,121,1,999,-1.8,93.075,-47.1,1.415,5099.1,no
33,admin.,married,university.degree,no,yes,no,nov,tue,344,2,3,-3.4,92.649,-30.1,0.715,5017.5,yes
30,technician,,university.degree,no,no,no,mar,mon,173,2,6,-1.8,93.369,-34.8,0.639,5008.7,yes
39,management,single,university.degree,,no,no,may,thu,412,2,999,-1.8,92.893,-46.2,1.327,5099.1,no
43,entrepreneur,married,high.school,no,no,no,may,tue,166,2,999,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,married,basic.6y,no,yes,no,may,thu,225,1,12,-1.8,92.893,-46.2,1.266,5099.1,no
31,blue-collar,married,basic.9y,,yes,no,jun,mon,388,1,999,-2.9,92.963,-40.8,1.266,5076.2,no
48,blue-collar,married,basic.4y,no,yes,no,jun,mon,92,3,999,1.4,94.465,-41.8,4.96,5228.1,no
31,blue-collar,married,basic.9y,no,no,no,jun,thu,296,1,999,1.4,94.465,-41.8,4.961,5228.1,no
26,blue-collar,single,high.school,no,yes,no,may,fri,326,1,999,1.1,93.994,-36.4,4.859,5191,no
44,unemployed,married,high.school,,yes,no,aug,wed,209,1,999,1.4,93.444,-36.1,4.967,5228.1,no
27,blue-collar,single,high.school,no,yes,no,jul,wed,168,7,999,1.4,93.918,-42.7,4.963,5228.1,no
47,admin.,divorced,university.degree,no,no,yes,aug,wed,69,6,999,1.4,93.444,-36.1,4.964,5228.1,no
46,admin.,divorced,university.degree,,yes,no,jul,thu,190,1,999,1.4,93.918,-42.7,4.963,5228.1,no
43,blue-collar,married,basic.9y,,yes,no,may,fri,288,3,999,-1.8,92.893,-46.2,1.313,5099.1,no
30,student,single,high.school,,no,no,may,wed,216,3,999,1.1,93.994,-36.4,4.856,5191,no
42,self-employed,married,university.degree,no,no,no,jul,mon,84,2,999,1.4,93.918,-42.7,4.962,5228.1,no
52,admin.,married,high.school,no,yes,no,aug,fri,131,1,999,1.4,93.444,-36.1,4.963,5228.1,no
29,technician,married,,no,yes,no,may,mon,252,2,999,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,married,basic.9y,,no,no,jun,thu,70,1,999,1.4,94.465,-41.8,4.961,5228.1,no
30,blue-collar,divorced,basic.4y,no,yes,yes,jul,thu,111,1,999,1.4,93.918,-42.7,4.966,5228.1,no
40,blue-collar,married,basic.6y,,yes,yes,may,fri,13,5,999,1.1,93.994,-36.4,4.857,5191,no
30,admin.,married,high.school,no,yes,yes,may,mon,82,9,999,-1.8,92.893,-46.2,1.299,5099.1,no
30,blue-collar,married,basic.4y,no,no,no,may,thu,208,1,999,-1.8,92.893,-46.2,1.327,5099.1,no
56,management,married,university.degree,no,no,no,jun,wed,154,4,999,1.4,94.465,-41.8,4.962,5228.1,no
26,services,single,high.school,no,yes,no,jul,mon,509,1,999,1.4,93.918,-42.7,4.96,5228.1,no
38,technician,single,professional.course,no,,,jun,fri,59,3,999,1.4,94.465,-41.8,4.967,5228.1,no
34,services,married,basic.9y,no,no,no,nov,tue,218,2,4,-0.1,93.2,-42,4.153,5195.8,no
37,blue-collar,single,basic.9y,,yes,no,may,wed,591,1,999,1.1,93.994,-36.4,4.856,5191,yes
31,blue-collar,single,high.school,no,yes,no,jul,tue,162,3,999,1.4,93.918,-42.7,4.961,5228.1,no
49,blue-collar,married,basic.9y,,yes,no,nov,wed,52,1,999,-0.1,93.2,-42,4.12,5195.8,no
42,technician,married,professional.course,,yes,no,nov,mon,94,1,4,-0.1,93.2,-42,4.191,5195.8,no
31,blue-collar,married,basic.6y,no,yes,no,may,mon,212,2,999,1.1,93.994,-36.4,4.857,5191,no
26,services,single,high.school,no,no,no,may,fri,155,3,999,1.1,93.994,-36.4,4.855,5191,no
29,admin.,married,high.school,no,no,no,jun,tue,30,1,999,1.4,94.465,-41.8,4.864,5228.1,no
44,services,divorced,high.school,no,no,no,jul,mon,119,3,999,1.4,93.918,-42.7,4.962,5228.1,no
35,admin.,single,high.school,no,yes,yes,may,mon,19,1,999,1.1,93.994,-36.4,4.858,5191,no
31,technician,divorced,professional.course,no,,,jul,wed,254,1,999,1.4,93.918,-42.7,4.962,5228.1,no
31,admin.,married,high.school,no,yes,no,jul,tue,305,2,999,1.4,93.918,-42.7,4.962,5228.1,no
42,blue-collar,married,,,yes,yes,may,tue,264,1,999,1.1,93.994,-36.4,4.856,5191,no
52,services,married,university.degree,no,no,no,may,fri,132,11,999,1.1,93.994,-36.4,4.859,5191,no
25,blue-collar,single,basic.9y,,yes,no,jul,wed,111,1,999,1.4,93.918,-42.7,4.962,5228.1,no
45,technician,divorced,university.degree,,yes,no,may,fri,84,1,999,-1.8,92.893,-46.2,1.313,5099.1,no
56,retired,married,high.school,no,yes,no,may,mon,167,3,999,1.1,93.994,-36.4,4.857,5191,no
73,retired,married,basic.4y,,no,no,aug,wed,76,1,999,-2.9,92.201,-31.4,0.854,5076.2,no
21,student,single,university.degree,no,yes,no,nov,fri,180,3,3,-3.4,92.649,-30.1,0.714,5017.5,no
58,technician,divorced,professional.course,,yes,no,aug,tue,109,3,999,1.4,93.444,-36.1,4.963,5228.1,no
31,blue-collar,married,basic.6y,,yes,no,may,wed,290,2,999,-1.8,92.893,-46.2,1.334,5099.1,no
46,,married,basic.4y,,yes,no,jun,mon,25,1,999,1.4,94.465,-41.8,4.96,5228.1,no
32,admin.,married,high.school,no,yes,no,may,mon,155,2,999,-1.8,92.893,-46.2,1.299,5099.1,no
42,blue-collar,married,basic.9y,,no,no,may,tue,199,1,999,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,married,basic.6y,no,no,no,may,tue,75,7,999,-1.8,92.893,-46.2,1.344,5099.1,no
59,technician,married,basic.9y,no,no,no,may,fri,135,9,999,1.1,93.994,-36.4,4.864,5191,no
54,blue-collar,married,high.school,,yes,yes,may,tue,197,1,999,-1.8,92.893,-46.2,1.344,5099.1,no
50,self-employed,married,university.degree,no,yes,no,jun,tue,157,1,999,1.4,94.465,-41.8,4.864,5228.1,no
43,admin.,married,university.degree,no,no,no,jun,thu,175,4,999,1.4,94.465,-41.8,4.866,5228.1,no
55,technician,married,professional.course,no,yes,no,nov,fri,98,1,999,-0.1,93.2,-42,4.021,5195.8,no
27,blue-collar,married,basic.9y,no,no,no,may,mon,653,1,999,-1.8,92.893,-46.2,1.299,5099.1,yes
50,entrepreneur,married,university.degree,no,no,no,jul,tue,1226,2,999,1.4,93.918,-42.7,4.961,5228.1,no
39,blue-collar,single,basic.4y,no,yes,yes,aug,fri,9,1,999,-1.7,94.027,-38.3,0.898,4991.6,no
53,blue-collar,divorced,basic.4y,no,no,no,jul,tue,64,1,999,1.4,93.918,-42.7,4.961,5228.1,no
33,services,married,basic.6y,no,yes,yes,may,tue,95,4,999,-1.8,92.893,-46.2,1.291,5099.1,no
47,entrepreneur,single,university.degree,,yes,no,jun,mon,42,1,999,1.4,94.465,-41.8,4.865,5228.1,no
40,unemployed,married,professional.course,no,yes,no,sep,fri,155,3,999,-3.4,92.379,-29.8,0.773,5017.5,no
47,management,married,university.degree,no,yes,no,may,tue,469,2,999,-1.8,92.893,-46.2,1.344,5099.1,no
44,services,divorced,high.school,no,no,no,may,thu,71,5,999,1.1,93.994,-36.4,4.86,5191,no
41,,single,,,yes,yes,jun,wed,66,2,999,1.4,94.465,-41.8,4.864,5228.1,no
27,admin.,single,university.degree,no,yes,no,jun,fri,266,2,999,-1.7,94.055,-39.8,0.748,4991.6,yes
34,admin.,married,high.school,no,yes,yes,may,tue,259,1,999,-1.8,92.893,-46.2,1.344,5099.1,yes
45,technician,married,high.school,no,yes,yes,aug,fri,243,1,999,1.4,93.444,-36.1,4.966,5228.1,no
72,retired,married,basic.4y,no,no,no,sep,fri,230,1,3,-3.4,92.379,-29.8,0.803,5017.5,yes
37,blue-collar,married,basic.9y,no,yes,no,apr,thu,218,1,999,-1.8,93.075,-47.1,1.41,5099.1,no
35,technician,married,high.school,no,no,no,aug,tue,121,3,999,1.4,93.444,-36.1,4.968,5228.1,no
47,admin.,single,university.degree,no,yes,no,aug,tue,161,1,999,-2.9,92.201,-31.4,0.859,5076.2,yes
35,blue-collar,married,basic.6y,no,yes,no,nov,tue,372,2,999,-0.1,93.2,-42,4.153,5195.8,no
46,admin.,married,university.degree,,yes,no,jul,tue,112,2,999,1.4,93.918,-42.7,4.961,5228.1,no
27,blue-collar,divorced,,no,no,no,jul,thu,536,5,999,1.4,93.918,-42.7,4.958,5228.1,no
41,blue-collar,married,basic.9y,no,no,no,apr,fri,367,3,999,-1.8,93.075,-47.1,1.405,5099.1,yes
42,technician,married,university.degree,no,yes,no,may,mon,78,2,999,-1.8,92.893,-46.2,1.244,5099.1,no
40,admin.,single,high.school,no,no,no,may,tue,17,6,999,-1.8,92.893,-46.2,1.344,5099.1,no
