age,job,marital,education,default,housing,loan,month,day_of_week,duration,campaign,pdays,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
55,blue-collar,married,professional.course,,yes,yes,jun,mon,354,1,999,1.4,94.465,-41.8,4.865,5228.1,no
35,blue-collar,married,basic.9y,,yes,no,nov,thu,198,2,999,-0.1,93.2,-42,4.076,5195.8,no
29,technician,single,professional.course,no,yes,no,nov,fri,38,2,999,-0.1,93.2,-42,4.021,5195.8,no
34,technician,divorced,professional.course,no,yes,no,aug,fri,644,8,999,1.4,93.444,-36.1,4.964,5228.1,no
60,retired,divorced,professional.course,no,yes,no,apr,thu,968,1,5,-1.8,93.075,-47.1,1.365,5099.1,yes
50,technician,married,professional.course,no,,,nov,tue,319,2,999,-0.1,93.2,-42,4.153,5195.8,no
59,housemaid,married,basic.4y,,no,no,aug,tue,77,6,999,1.4,93.444,-36.1,4.965,5228.1,no
60,retired,married,professional.course,no,yes,no,jun,thu,190,2,999,1.4,94.465,-41.8,4.866,5228.1,no
52,management,divorced,university.degree,no,no,no,jul,mon,200,4,999,1.4,93.918,-42.7,4.96,5228.1,no
34,admin.,married,professional.course,no,yes,no,may,tue,248,2,999,1.1,93.994,-36.4,4.856,5191,no
38,blue-collar,single,basic.4y,no,no,no,may,mon,118,6,999,1.1,93.994,-36.4,4.857,5191,no
57,retired,married,professional.course,no,yes,no,nov,thu,124,6,999,-1.1,94.767,-50.8,1.031,4963.6,no
25,student,single,high.school,no,yes,no,nov,mon,61,3,999,-3.4,92.649,-30.1,0.714,5017.5,no
32,blue-collar,married,basic.6y,no,yes,no,may,fri,165,3,999,1.1,93.994,-36.4,4.857,5191,no
46,self-employed,married,basic.9y,,no,no,may,mon,529,3,999,1.1,93.994,-36.4,4.858,5191,no
32,technician,single,university.degree,no,no,yes,may,fri,137,2,999,-1.8,92.893,-46.2,1.25,5099.1,no
48,blue-collar,married,professional.course,no,no,no,jul,thu,22,25,999,1.4,93.918,-42.7,4.968,5228.1,no
30,management,single,university.degree,no,yes,no,jul,mon,96,1,999,1.4,93.918,-42.7,4.96,5228.1,no
27,admin.,single,university.degree,no,no,yes,jun,tue,154,1,999,-2.9,92.963,-40.8,1.262,5076.2,no
43,blue-collar,married,basic.4y,,no,no,may,thu,263,2,999,1.1,93.994,-36.4,4.855,5191,no
49,blue-collar,married,basic.9y,no,yes,no,may,wed,102,1,999,1.1,93.994,-36.4,4.857,5191,no
23,management,single,university.degree,no,yes,yes,jul,thu,804,2,999,1.4,93.918,-42.7,4.958,5228.1,no
30,technician,married,university.degree,no,no,no,aug,thu,66,2,999,1.4,93.444,-36.1,4.962,5228.1,no
53,services,married,basic.6y,no,yes,no,may,thu,157,4,999,-1.8,92.893,-46.2,1.266,5099.1,no
52,blue-collar,married,basic.4y,,no,no,may,mon,528,3,999,-1.8,92.893,-46.2,1.354,5099.1,no
60,,married,university.degree,no,yes,no,jun,mon,112,1,999,1.4,94.465,-41.8,4.961,5228.1,no
38,technician,single,professional.course,no,yes,no,may,wed,50,2,999,-1.8,92.893,-46.2,1.281,5099.1,no
43,blue-collar,single,basic.6y,no,yes,no,jul,wed,199,2,999,1.4,93.918,-42.7,4.957,5228.1,no
31,admin.,single,high.school,no,no,no,jul,wed,96,2,999,1.4,93.918,-42.7,4.962,5228.1,no
48,admin.,single,high.school,no,yes,no,aug,mon,48,5,999,1.4,93.444,-36.1,4.963,5228.1,no
59,retired,single,university.degree,no,no,no,may,mon,36,4,999,1.1,93.994,-36.4,4.857,5191,no
58,admin.,married,university.degree,no,yes,no,aug,thu,60,1,999,1.4,93.444,-36.1,4.964,5228.1,no
46,admin.,married,university.degree,no,yes,no,jun,fri,193,7,999,1.4,94.465,-41.8,4.967,5228.1,no
45,blue-collar,married,basic.6y,,yes,no,may,thu,277,2,999,1.1,93.994,-36.4,4.86,5191,no
32,entrepreneur,married,basic.9y,,yes,no,jul,tue,258,1,999,1.4,93.918,-42.7,4.962,5228.1,no
35,admin.,divorced,high.school,no,no,yes,jun,mon,15,15,999,1.4,94.465,-41.8,4.96,5228.1,no
30,admin.,single,high.school,no,no,no,aug,fri,72,1,999,1.4,93.444,-36.1,4.964,5228.1,no
34,admin.,married,high.school,no,yes,yes,may,fri,20,1,999,1.1,93.994,-36.4,4.855,5191,no
29,admin.,,university.degree,no,no,no,may,fri,264,2,999,-1.8,92.893,-46.2,1.259,5099.1,no
48,admin.,single,university.degree,no,yes,no,jun,fri,14,3,999,1.4,94.465,-41.8,4.959,5228.1,no
38,technician,married,professional.course,no,yes,no,aug,fri,119,3,999,1.4,93.444,-36.1,4.963,5228.1,no
38,management,married,university.degree,no,no,no,sep,wed,149,2,999,-1.1,94.199,-37.5,0.88,4963.6,no
72,admin.,married,university.degree,no,yes,no,jun,mon,134,1,999,-2.9,92.963,-40.8,1.266,5076.2,no
46,admin.,married,university.degree,no,no,no,aug,thu,87,5,999,1.4,93.444,-36.1,4.964,5228.1,no
54,blue-collar,married,basic.9y,,yes,no,aug,mon,143,2,999,1.4,93.444,-36.1,4.963,5228.1,no
33,admin.,divorced,university.degree,no,no,no,aug,wed,259,2,999,1.4,93.444,-36.1,4.964,5228.1,no
34,blue-collar,married,basic.4y,no,no,no,nov,tue,120,2,999,-0.1,93.2,-42,4.153,5195.8,no
53,retired,divorced,basic.4y,,no,yes,jul,tue,159,3,999,1.4,93.918,-42.7,4.961,5228.1,no
44,blue-collar,married,basic.4y,no,no,no,jul,tue,345,5,999,1.4,93.918,-42.7,4.961,5228.1,no
38,self-employed,divorced,high.school,no,no,no,aug,fri,391,3,999,-2.9,92.201,-31.4,0.869,5076.2,yes
59,admin.,married,university.degree,no,no,no,oct,tue,85,1,999,-0.1,93.798,-40.4,4.968,5195.8,yes
42,self-employed,married,university.degree,no,no,yes,aug,fri,327,3,999,1.4,93.444,-36.1,4.966,5228.1,no
48,technician,married,university.degree,no,no,no,aug,fri,607,2,999,1.4,93.444,-36.1,4.964,5228.1,no
46,technician,divorced,professional.course,no,no,no,jul,tue,114,4,999,1.4,93.918,-42.7,4.961,5228.1,no
39,services,married,high.school,no,no,no,may,wed,178,1,999,1.1,93.994,-36.4,4.858,5191,no
29,admin.,single,high.school,no,yes,yes,aug,mon,63,4,999,1.4,93.444,-36.1,4.965,5228.1,no
32,management,married,university.degree,no,no,no,jun,fri,80,4,999,1.4,94.465,-41.8,4.947,5228.1,no
85,retired,divorced,basic.4y,,yes,no,dec,mon,321,3,6,-3,92.713,-33,0.715,5023.5,yes
46,housemaid,single,university.degree,,no,yes,jul,tue,142,3,999,1.4,93.918,-42.7,4.961,5228.1,no
43,technician,single,university.degree,no,yes,no,may,thu,1120,2,999,1.1,93.994,-36.4,4.855,5191,yes
35,admin.,single,high.school,no,yes,no,may,mon,355,2,999,1.1,93.994,-36.4,4.857,5191,no
35,student,single,university.degree,,yes,no,jun,mon,178,4,999,1.4,94.465,-41.8,4.96,5228.1,no
38,admin.,divorced,university.degree,no,no,no,jun,fri,50,3,999,1.4,94.465,-41.8,4.959,5228.1,no
52,blue-collar,married,basic.4y,,no,no,aug,fri,69,2,999,1.4,93.444,-36.1,4.964,5228.1,no
42,services,married,high.school,no,no,no,jun,mon,217,4,999,1.4,94.465,-41.8,4.865,5228.1,no
25,self-employed,single,university.degree,no,no,no,may,mon,105,1,999,1.1,93.994,-36.4,4.858,5191,no
33,blue-collar,married,basic.9y,,no,yes,may,thu,113,3,999,-1.8,92.893,-46.2,1.266,5099.1,no
34,technician,married,professional.course,,no,no,jul,thu,46,2,999,1.4,93.918,-42.7,4.968,5228.1,no
38,blue-collar,married,basic.4y,,yes,no,apr,thu,258,1,999,-1.8,93.075,-47.1,1.41,5099.1,no
33,blue-collar,single,basic.9y,no,yes,yes,may,fri,58,2,999,1.1,93.994,-36.4,4.864,5191,no
31,blue-collar,married,basic.9y,no,no,no,may,wed,81,4,999,1.1,93.994,-36.4,4.857,5191,no
28,services,married,,no,no,no,jun,mon,220,1,999,1.4,94.465,-41.8,4.96,5228.1,no
59,blue-collar,married,basic.4y,no,yes,no,may,wed,162,1,999,1.1,93.994,-36.4,4.859,5191,no
43,admin.,married,university.degree,no,yes,no,jun,wed,262,2,3,-2.9,92.963,-40.8,1.26,5076.2,yes
25,admin.,single,basic.9y,no,yes,no,jul,thu,83,4,999,1.4,93.918,-42.7,4.968,5228.1,no
39,technician,single,high.school,no,no,no,may,fri,12,5,999,-1.8,92.893,-46.2,1.25,5099.1,no
45,blue-collar,married,basic.4y,no,yes,no,may,wed,204,1,999,1.1,93.994,-36.4,4.858,5191,no
30,technician,married,basic.9y,no,yes,no,may,fri,41,1,999,-1.8,92.893,-46.2,1.25,5099.1,no
33,admin.,single,university.degree,no,yes,yes,jun,mon,304,2,999,1.4,94.465,-41.8,4.865,5228.1,no
29,admin.,single,university.degree,no,yes,no,jun,mon,154,1,999,-2.9,92.963,-40.8,1.266,5076.2,no
32,admin.,single,university.degree,,no,no,may,tue,215,1,999,1.1,93.994,-36.4,4.857,5191,no
43,admin.,married,high.school,no,yes,no,jul,tue,197,1,999,1.4,93.918,-42.7,4.961,5228.1,no
33,housemaid,married,high.school,no,yes,no,aug,mon,101,3,999,1.4,93.444,-36.1,4.965,5228.1,no
30,housemaid,married,high.school,,no,no,may,thu,159,1,999,1.1,93.994,-36.4,4.855,5191,no
47,technician,married,professional.course,no,yes,no,jul,thu,153,18,999,1.4,93.918,-42.7,4.968,5228.1,no
59,technician,married,basic.6y,,no,no,may,thu,24,16,999,1.1,93.994,-36.4,4.86,5191,no
48,technician,married,professional.course,,no,no,jun,mon,105,3,999,1.4,94.465,-41.8,4.865,5228.1,no
29,admin.,single,high.school,no,yes,yes,apr,thu,123,3,9,-1.8,93.075,-47.1,1.41,5099.1,no
53,self-employed,married,basic.4y,no,no,no,nov,tue,505,2,999,-0.1,93.2,-42,4.153,5195.8,no
38,management,married,basic.6y,,yes,no,jun,mon,166,3,999,1.4,94.465,-41.8,4.961,5228.1,no
33,technician,married,professional.course,no,yes,no,aug,tue,276,1,999,1.4,93.444,-36.1,4.963,5228.1,no
26,admin.,married,university.degree,no,yes,no,mar,mon,154,1,999,-1.8,92.843,-50,1.811,5099.1,yes
32,blue-collar,married,high.school,no,no,no,jun,wed,220,1,999,1.4,94.465,-41.8,4.962,5228.1,no
43,admin.,divorced,basic.9y,no,no,no,may,mon,73,3,999,1.1,93.994,-36.4,4.857,5191,no
27,management,single,high.school,no,,,jun,wed,155,2,999,1.4,94.465,-41.8,4.962,5228.1,no
29,self-employed,single,high.school,no,yes,yes,nov,thu,337,3,999,-0.1,93.2,-42,4.076,5195.8,no
59,retired,divorced,,no,no,no,jul,wed,413,2,999,1.4,93.918,-42.7,4.963,5228.1,no
36,services,single,high.school,no,no,no,jul,wed,399,17,999,1.4,93.918,-42.7,4.962,5228.1,no
39,services,married,professional.course,no,yes,yes,nov,mon,148,2,999,-0.1,93.2,-42,4.191,5195.8,no
28,student,single,university.degree,,yes,no,may,mon,208,1,999,1.1,93.994,-36.4,4.857,5191,no
54,blue-collar,married,,,yes,no,apr,fri,113,2,999,-1.8,93.075,-47.1,1.405,5099.1,no
51,blue-collar,married,basic.9y,,no,no,may,fri,304,2,999,1.1,93.994,-36.4,4.857,5191,no
40,housemaid,divorced,high.school,no,no,no,may,fri,188,1,999,1.1,93.994,-36.4,4.855,5191,no
45,blue-collar,married,basic.9y,no,no,yes,apr,fri,175,3,999,-1.8,93.075,-47.1,1.405,5099.1,no
59,services,married,high.school,no,yes,no,jul,thu,70,5,999,1.4,93.918,-42.7,4.968,5228.1,no
39,services,married,high.school,no,no,no,may,fri,110,6,999,1.1,93.994,-36.4,4.864,5191,no
22,self-employed,single,university.degree,no,yes,yes,jun,fri,126,6,999,-2.9,92.963,-40.8,1.268,5076.2,yes
31,admin.,single,university.degree,,yes,no,aug,thu,67,1,999,1.4,93.444,-36.1,4.968,5228.1,no
33,admin.,divorced,high.school,no,no,no,aug,tue,271,3,999,1.4,93.444,-36.1,4.963,5228.1,no
36,management,married,basic.6y,no,yes,yes,aug,thu,354,3,999,-2.9,92.201,-31.4,0.873,5076.2,yes
72,retired,divorced,university.degree,no,no,no,aug,tue,270,1,999,-2.9,92.201,-31.4,0.884,5076.2,no
48,admin.,married,university.degree,no,yes,no,nov,thu,111,2,999,-0.1,93.2,-42,4.076,5195.8,no
47,management,married,high.school,no,no,yes,apr,fri,245,1,999,-1.8,93.075,-47.1,1.405,5099.1,no
38,housemaid,married,high.school,no,yes,no,jul,wed,335,5,999,1.4,93.918,-42.7,4.963,5228.1,no
32,admin.,single,high.school,no,no,yes,nov,thu,329,1,999,-0.1,93.2,-42,4.076,5195.8,no
35,admin.,single,university.degree,no,yes,yes,may,fri,218,1,999,1.1,93.994,-36.4,4.857,5191,no
36,management,married,university.degree,no,no,no,nov,thu,192,2,6,-0.1,93.2,-42,4.076,5195.8,no
26,admin.,single,university.degree,no,yes,no,may,thu,400,2,999,-1.8,92.893,-46.2,1.266,5099.1,no
33,admin.,married,university.degree,no,no,no,may,fri,724,1,999,1.1,93.994,-36.4,4.864,5191,no
46,blue-collar,married,basic.6y,no,no,yes,nov,tue,97,2,999,-0.1,93.2,-42,4.153,5195.8,no
33,admin.,single,university.degree,no,yes,no,aug,thu,289,1,999,1.4,93.444,-36.1,4.962,5228.1,no
42,technician,divorced,professional.course,no,yes,yes,aug,tue,158,1,999,1.4,93.444,-36.1,4.966,5228.1,no
34,blue-collar,married,basic.9y,no,no,no,may,tue,169,1,999,-1.8,92.893,-46.2,1.344,5099.1,no
57,blue-collar,divorced,basic.9y,no,yes,no,may,wed,543,2,999,1.1,93.994,-36.4,4.857,5191,yes
47,management,married,basic.9y,no,no,no,nov,mon,97,1,999,-0.1,93.2,-42,4.191,5195.8,no
57,admin.,married,professional.course,no,yes,no,jul,tue,60,4,999,1.4,93.918,-42.7,4.961,5228.1,no
37,admin.,single,university.degree,no,yes,no,aug,mon,108,2,999,1.4,93.444,-36.1,4.965,5228.1,no
36,technician,married,professional.course,no,yes,no,jul,wed,182,3,999,-2.9,92.469,-33.6,1.029,5076.2,no
47,management,married,university.degree,no,yes,yes,may,fri,80,1,999,1.1,93.994,-36.4,4.857,5191,no
40,admin.,divorced,high.school,no,yes,no,sep,fri,101,1,999,-3.4,92.379,-29.8,0.803,5017.5,no
33,admin.,single,university.degree,no,,,aug,mon,295,2,999,1.4,93.444,-36.1,4.965,5228.1,no
29,services,single,high.school,no,no,no,may,thu,689,2,999,1.1,93.994,-36.4,4.86,5191,no
39,services,married,high.school,,yes,no,may,tue,24,1,999,1.1,93.994,-36.4,4.856,5191,no
20,student,single,high.school,no,no,no,apr,mon,1472,1,999,-1.8,93.749,-34.6,0.645,5008.7,yes
28,blue-collar,single,basic.9y,no,no,no,may,thu,111,1,999,-1.8,92.893,-46.2,1.266,5099.1,no
32,blue-collar,married,basic.4y,,yes,no,may,thu,94,1,999,-1.8,92.893,-46.2,1.266,5099.1,no
27,services,single,university.degree,no,yes,no,jun,mon,41,2,999,-2.9,92.963,-40.8,1.26,5076.2,no
32,admin.,married,high.school,no,no,no,mar,thu,115,2,999,-1.8,92.843,-50,1.757,5099.1,no
34,admin.,single,university.degree,no,yes,no,aug,mon,432,1,999,1.4,93.444,-36.1,4.97,5228.1,no
42,admin.,married,high.school,no,no,yes,jun,mon,218,2,999,1.4,94.465,-41.8,4.865,5228.1,no
39,admin.,married,high.school,no,yes,no,jul,fri,214,1,999,1.4,93.918,-42.7,4.962,5228.1,no
32,admin.,single,university.degree,no,yes,no,sep,mon,290,4,999,-1.1,94.199,-37.5,0.879,4963.6,no
34,admin.,single,university.degree,no,no,yes,may,mon,14,5,999,-1.8,92.893,-46.2,1.299,5099.1,no
55,management,married,university.degree,no,yes,no,nov,wed,99,1,999,-3.4,92.649,-30.1,0.716,5017.5,no
38,blue-collar,single,university.degree,,yes,no,jun,wed,59,2,999,1.4,94.465,-41.8,4.962,5228.1,no
38,management,divorced,university.degree,no,no,no,aug,fri,247,1,999,1.4,93.444,-36.1,4.963,5228.1,no
33,services,single,basic.9y,no,no,no,may,mon,372,14,999,1.1,93.994,-36.4,4.857,5191,no
31,blue-collar,married,basic.9y,no,yes,no,may,tue,180,3,999,-1.8,92.893,-46.2,1.344,5099.1,no
37,admin.,married,university.degree,no,no,no,may,tue,1376,2,999,1.1,93.994,-36.4,4.856,5191,no
39,blue-collar,married,basic.4y,,no,no,jul,mon,222,1,999,1.4,93.918,-42.7,4.96,5228.1,no
45,admin.,married,,no,no,no,jun,fri,438,2,999,-2.9,92.963,-40.8,1.268,5076.2,yes
31,blue-collar,married,basic.9y,no,no,no,nov,thu,277,1,999,-0.1,93.2,-42,4.076,5195.8,no
46,admin.,divorced,university.degree,no,no,no,nov,fri,11,7,999,-0.1,93.2,-42,4.021,5195.8,no
40,entrepreneur,divorced,university.degree,no,no,no,nov,mon,325,2,999,-0.1,93.2,-42,4.191,5195.8,no
44,services,married,basic.4y,,yes,no,may,mon,160,4,999,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,single,professional.course,no,yes,no,aug,wed,100,1,999,-2.9,92.201,-31.4,0.879,5076.2,no
42,management,single,university.degree,no,no,no,oct,mon,134,1,6,-3.4,92.431,-26.9,0.743,5017.5,no
31,blue-collar,married,basic.9y,,yes,no,apr,tue,208,1,999,-1.8,93.075,-47.1,1.453,5099.1,no
38,entrepreneur,divorced,basic.9y,no,yes,yes,nov,wed,70,1,999,-0.1,93.2,-42,4.12,5195.8,no
39,blue-collar,married,basic.4y,,no,yes,may,wed,162,1,999,-1.8,92.893,-46.2,1.334,5099.1,no
43,admin.,married,university.degree,no,no,no,jul,tue,136,1,999,1.4,93.918,-42.7,4.962,5228.1,no
51,technician,married,professional.course,no,yes,no,nov,thu,123,1,999,-0.1,93.2,-42,4.076,5195.8,no
32,management,single,university.degree,no,,,may,thu,315,1,999,1.1,93.994,-36.4,4.86,5191,no
36,admin.,single,university.degree,no,yes,no,aug,wed,1408,3,999,1.4,93.444,-36.1,4.964,5228.1,yes
30,services,married,high.school,no,yes,yes,may,mon,296,1,999,-1.8,92.893,-46.2,1.299,5099.1,no
36,admin.,single,university.degree,,yes,no,apr,mon,198,1,999,-1.8,93.075,-47.1,1.405,5099.1,no
40,technician,divorced,professional.course,no,yes,no,aug,tue,109,8,999,1.4,93.444,-36.1,4.965,5228.1,no
