"PROVINCE_NAME","ROUTE_NAME",JDATETIME,GDATETIME,total
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 00:00:00","2023-08-23 00:00:00.0",412
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 01:00:00","2023-08-23 01:00:00.0",387
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 02:00:00","2023-08-23 02:00:00.0",332
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 03:00:00","2023-08-23 03:00:00.0",394
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 04:00:00","2023-08-23 04:00:00.0",376
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 05:00:00","2023-08-23 05:00:00.0",339
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 06:00:00","2023-08-23 06:00:00.0",489
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 07:00:00","2023-08-23 07:00:00.0",700
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 08:00:00","2023-08-23 08:00:00.0",131
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 09:00:00","2023-08-23 09:00:00.0",
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 10:00:00","2023-08-23 10:00:00.0",
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 11:00:00","2023-08-23 11:00:00.0",
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 12:00:00","2023-08-23 12:00:00.0",
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 13:00:00","2023-08-23 13:00:00.0",
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 14:00:00","2023-08-23 14:00:00.0",176
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 15:00:00","2023-08-23 15:00:00.0",559
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 16:00:00","2023-08-23 16:00:00.0",616
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 17:00:00","2023-08-23 17:00:00.0",834
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 18:00:00","2023-08-23 18:00:00.0",1012
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 19:00:00","2023-08-23 19:00:00.0",1033
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 20:00:00","2023-08-23 20:00:00.0",882
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 21:00:00","2023-08-23 21:00:00.0",826
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 22:00:00","2023-08-23 22:00:00.0",815
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 23:00:00","2023-08-23 23:00:00.0",807
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 00:00:00","2023-08-24 00:00:00.0",695
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 01:00:00","2023-08-24 01:00:00.0",663
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 02:00:00","2023-08-24 02:00:00.0",617
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 03:00:00","2023-08-24 03:00:00.0",668
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 04:00:00","2023-08-24 04:00:00.0",590
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 05:00:00","2023-08-24 05:00:00.0",535
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 06:00:00","2023-08-24 06:00:00.0",869
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 07:00:00","2023-08-24 07:00:00.0",873
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 08:00:00","2023-08-24 08:00:00.0",832
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 09:00:00","2023-08-24 09:00:00.0",774
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 10:00:00","2023-08-24 10:00:00.0",685
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 11:00:00","2023-08-24 11:00:00.0",702
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 12:00:00","2023-08-24 12:00:00.0",561
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 13:00:00","2023-08-24 13:00:00.0",471
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 14:00:00","2023-08-24 14:00:00.0",519
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 15:00:00","2023-08-24 15:00:00.0",623
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 16:00:00","2023-08-24 16:00:00.0",795
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 17:00:00","2023-08-24 17:00:00.0",853
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 18:00:00","2023-08-24 18:00:00.0",1302
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 19:00:00","2023-08-24 19:00:00.0",1212
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 20:00:00","2023-08-24 20:00:00.0",1083
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 21:00:00","2023-08-24 21:00:00.0",1000
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 22:00:00","2023-08-24 22:00:00.0",919
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 23:00:00","2023-08-24 23:00:00.0",1007
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 00:00:00","2023-08-25 00:00:00.0",919
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 01:00:00","2023-08-25 01:00:00.0",904
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 02:00:00","2023-08-25 02:00:00.0",776
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 03:00:00","2023-08-25 03:00:00.0",765
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 04:00:00","2023-08-25 04:00:00.0",797
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 05:00:00","2023-08-25 05:00:00.0",752
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 06:00:00","2023-08-25 06:00:00.0",1026
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 07:00:00","2023-08-25 07:00:00.0",924
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 08:00:00","2023-08-25 08:00:00.0",931
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 09:00:00","2023-08-25 09:00:00.0",892
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 10:00:00","2023-08-25 10:00:00.0",873
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 11:00:00","2023-08-25 11:00:00.0",838
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 12:00:00","2023-08-25 12:00:00.0",740
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 13:00:00","2023-08-25 13:00:00.0",606
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 14:00:00","2023-08-25 14:00:00.0",670
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 15:00:00","2023-08-25 15:00:00.0",907
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 16:00:00","2023-08-25 16:00:00.0",1042
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 17:00:00","2023-08-25 17:00:00.0",1294
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 18:00:00","2023-08-25 18:00:00.0",1450
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 19:00:00","2023-08-25 19:00:00.0",1361
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 20:00:00","2023-08-25 20:00:00.0",1139
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 21:00:00","2023-08-25 21:00:00.0",1400
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 22:00:00","2023-08-25 22:00:00.0",1703
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 23:00:00","2023-08-25 23:00:00.0",1436
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 00:00:00","2023-08-26 00:00:00.0",1604
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 01:00:00","2023-08-26 01:00:00.0",1075
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 02:00:00","2023-08-26 02:00:00.0",936
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 03:00:00","2023-08-26 03:00:00.0",990
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 04:00:00","2023-08-26 04:00:00.0",1046
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 05:00:00","2023-08-26 05:00:00.0",925
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 06:00:00","2023-08-26 06:00:00.0",1169
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 07:00:00","2023-08-26 07:00:00.0",1083
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 08:00:00","2023-08-26 08:00:00.0",879
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 09:00:00","2023-08-26 09:00:00.0",801
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 10:00:00","2023-08-26 10:00:00.0",713
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 11:00:00","2023-08-26 11:00:00.0",738
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 12:00:00","2023-08-26 12:00:00.0",626
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 13:00:00","2023-08-26 13:00:00.0",481
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 14:00:00","2023-08-26 14:00:00.0",566
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 15:00:00","2023-08-26 15:00:00.0",918
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 16:00:00","2023-08-26 16:00:00.0",936
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 17:00:00","2023-08-26 17:00:00.0",1014
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 18:00:00","2023-08-26 18:00:00.0",1347
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 19:00:00","2023-08-26 19:00:00.0",1242
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 20:00:00","2023-08-26 20:00:00.0",967
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 21:00:00","2023-08-26 21:00:00.0",954
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 22:00:00","2023-08-26 22:00:00.0",1200
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 23:00:00","2023-08-26 23:00:00.0",1220
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 00:00:00","2023-08-27 00:00:00.0",1172
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 01:00:00","2023-08-27 01:00:00.0",1048
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 02:00:00","2023-08-27 02:00:00.0",970
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 03:00:00","2023-08-27 03:00:00.0",934
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 04:00:00","2023-08-27 04:00:00.0",892
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 05:00:00","2023-08-27 05:00:00.0",821
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 06:00:00","2023-08-27 06:00:00.0",987
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 07:00:00","2023-08-27 07:00:00.0",1106
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 08:00:00","2023-08-27 08:00:00.0",947
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 09:00:00","2023-08-27 09:00:00.0",785
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 10:00:00","2023-08-27 10:00:00.0",766
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 11:00:00","2023-08-27 11:00:00.0",732
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 12:00:00","2023-08-27 12:00:00.0",587
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 13:00:00","2023-08-27 13:00:00.0",554
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 14:00:00","2023-08-27 14:00:00.0",644
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 15:00:00","2023-08-27 15:00:00.0",776
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 16:00:00","2023-08-27 16:00:00.0",894
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 17:00:00","2023-08-27 17:00:00.0",1031
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 18:00:00","2023-08-27 18:00:00.0",1322
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 19:00:00","2023-08-27 19:00:00.0",1238
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 20:00:00","2023-08-27 20:00:00.0",1208
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 21:00:00","2023-08-27 21:00:00.0",1006
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 22:00:00","2023-08-27 22:00:00.0",1298
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 23:00:00","2023-08-27 23:00:00.0",1130
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 00:00:00","2023-08-28 00:00:00.0",1441
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 01:00:00","2023-08-28 01:00:00.0",1179
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 02:00:00","2023-08-28 02:00:00.0",1131
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 03:00:00","2023-08-28 03:00:00.0",1331
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 04:00:00","2023-08-28 04:00:00.0",1052
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 05:00:00","2023-08-28 05:00:00.0",937
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 06:00:00","2023-08-28 06:00:00.0",1192
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 07:00:00","2023-08-28 07:00:00.0",1172
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 08:00:00","2023-08-28 08:00:00.0",1002
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 09:00:00","2023-08-28 09:00:00.0",921
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 10:00:00","2023-08-28 10:00:00.0",876
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 11:00:00","2023-08-28 11:00:00.0",865
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 12:00:00","2023-08-28 12:00:00.0",713
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 13:00:00","2023-08-28 13:00:00.0",627
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 14:00:00","2023-08-28 14:00:00.0",709
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 15:00:00","2023-08-28 15:00:00.0",815
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 16:00:00","2023-08-28 16:00:00.0",971
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 17:00:00","2023-08-28 17:00:00.0",1185
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 18:00:00","2023-08-28 18:00:00.0",1370
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 19:00:00","2023-08-28 19:00:00.0",1306
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 20:00:00","2023-08-28 20:00:00.0",1023
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 21:00:00","2023-08-28 21:00:00.0",1129
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 22:00:00","2023-08-28 22:00:00.0",1294
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-06 23:00:00","2023-08-28 23:00:00.0",1319
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 00:00:00","2023-08-29 00:00:00.0",1385
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 01:00:00","2023-08-29 01:00:00.0",1218
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 02:00:00","2023-08-29 02:00:00.0",1167
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 03:00:00","2023-08-29 03:00:00.0",1121
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 04:00:00","2023-08-29 04:00:00.0",928
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 05:00:00","2023-08-29 05:00:00.0",845
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 06:00:00","2023-08-29 06:00:00.0",1255
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 07:00:00","2023-08-29 07:00:00.0",1219
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 08:00:00","2023-08-29 08:00:00.0",1095
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 09:00:00","2023-08-29 09:00:00.0",1039
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 10:00:00","2023-08-29 10:00:00.0",941
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 11:00:00","2023-08-29 11:00:00.0",881
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 12:00:00","2023-08-29 12:00:00.0",713
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 13:00:00","2023-08-29 13:00:00.0",579
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 14:00:00","2023-08-29 14:00:00.0",731
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 15:00:00","2023-08-29 15:00:00.0",907
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 16:00:00","2023-08-29 16:00:00.0",1063
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 17:00:00","2023-08-29 17:00:00.0",1092
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 18:00:00","2023-08-29 18:00:00.0",1394
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 19:00:00","2023-08-29 19:00:00.0",1168
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 20:00:00","2023-08-29 20:00:00.0",1141
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 21:00:00","2023-08-29 21:00:00.0",1174
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 22:00:00","2023-08-29 22:00:00.0",1193
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-07 23:00:00","2023-08-29 23:00:00.0",1272
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 00:00:00","2023-08-30 00:00:00.0",1353
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 01:00:00","2023-08-30 01:00:00.0",1179
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 02:00:00","2023-08-30 02:00:00.0",1119
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 03:00:00","2023-08-30 03:00:00.0",1080
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 04:00:00","2023-08-30 04:00:00.0",940
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 05:00:00","2023-08-30 05:00:00.0",961
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 06:00:00","2023-08-30 06:00:00.0",1235
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 07:00:00","2023-08-30 07:00:00.0",1207
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 08:00:00","2023-08-30 08:00:00.0",1065
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 09:00:00","2023-08-30 09:00:00.0",1003
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 10:00:00","2023-08-30 10:00:00.0",841
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 11:00:00","2023-08-30 11:00:00.0",920
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 12:00:00","2023-08-30 12:00:00.0",706
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 13:00:00","2023-08-30 13:00:00.0",582
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 14:00:00","2023-08-30 14:00:00.0",720
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 15:00:00","2023-08-30 15:00:00.0",902
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 16:00:00","2023-08-30 16:00:00.0",1052
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 17:00:00","2023-08-30 17:00:00.0",1188
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 18:00:00","2023-08-30 18:00:00.0",1325
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 19:00:00","2023-08-30 19:00:00.0",1107
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 20:00:00","2023-08-30 20:00:00.0",1099
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 21:00:00","2023-08-30 21:00:00.0",1134
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 22:00:00","2023-08-30 22:00:00.0",1193
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-08 23:00:00","2023-08-30 23:00:00.0",1242
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 00:00:00","2023-08-31 00:00:00.0",1163
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 01:00:00","2023-08-31 01:00:00.0",1045
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 02:00:00","2023-08-31 02:00:00.0",1038
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 03:00:00","2023-08-31 03:00:00.0",1020
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 04:00:00","2023-08-31 04:00:00.0",929
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 05:00:00","2023-08-31 05:00:00.0",884
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 06:00:00","2023-08-31 06:00:00.0",1178
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 07:00:00","2023-08-31 07:00:00.0",1233
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 08:00:00","2023-08-31 08:00:00.0",1185
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 09:00:00","2023-08-31 09:00:00.0",1034
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 10:00:00","2023-08-31 10:00:00.0",809
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 11:00:00","2023-08-31 11:00:00.0",1114
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 12:00:00","2023-08-31 12:00:00.0",753
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 13:00:00","2023-08-31 13:00:00.0",526
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 14:00:00","2023-08-31 14:00:00.0",890
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 15:00:00","2023-08-31 15:00:00.0",917
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 16:00:00","2023-08-31 16:00:00.0",981
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 17:00:00","2023-08-31 17:00:00.0",1107
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 18:00:00","2023-08-31 18:00:00.0",1088
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 19:00:00","2023-08-31 19:00:00.0",1031
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 20:00:00","2023-08-31 20:00:00.0",980
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 21:00:00","2023-08-31 21:00:00.0",972
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 22:00:00","2023-08-31 22:00:00.0",1140
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-09 23:00:00","2023-08-31 23:00:00.0",1105
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 00:00:00","2023-09-01 00:00:00.0",955
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 01:00:00","2023-09-01 01:00:00.0",905
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 02:00:00","2023-09-01 02:00:00.0",899
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 03:00:00","2023-09-01 03:00:00.0",833
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 04:00:00","2023-09-01 04:00:00.0",894
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 05:00:00","2023-09-01 05:00:00.0",871
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 06:00:00","2023-09-01 06:00:00.0",982
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 07:00:00","2023-09-01 07:00:00.0",1062
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 08:00:00","2023-09-01 08:00:00.0",996
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 09:00:00","2023-09-01 09:00:00.0",976
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 10:00:00","2023-09-01 10:00:00.0",584
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 11:00:00","2023-09-01 11:00:00.0",1008
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 12:00:00","2023-09-01 12:00:00.0",427
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 13:00:00","2023-09-01 13:00:00.0",714
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 14:00:00","2023-09-01 14:00:00.0",686
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 15:00:00","2023-09-01 15:00:00.0",938
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 16:00:00","2023-09-01 16:00:00.0",838
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 17:00:00","2023-09-01 17:00:00.0",1074
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 18:00:00","2023-09-01 18:00:00.0",1201
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 19:00:00","2023-09-01 19:00:00.0",972
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 20:00:00","2023-09-01 20:00:00.0",805
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 21:00:00","2023-09-01 21:00:00.0",981
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 22:00:00","2023-09-01 22:00:00.0",915
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 23:00:00","2023-09-01 23:00:00.0",791
